 INFO  Accepting connections at http://127.0.0.1:8788
 HTTP  9/25/2025 12:50:59 PM 127.0.0.1 GET /
 HTTP  9/25/2025 12:50:59 PM 127.0.0.1 Returned 304 in 73 ms
 HTTP  9/25/2025 12:50:59 PM 127.0.0.1 GET /app.js?v=4
 HTTP  9/25/2025 12:50:59 PM 127.0.0.1 Returned 304 in 5 ms
 HTTP  9/25/2025 12:50:59 PM 127.0.0.1 GET /three.module.js
 HTTP  9/25/2025 12:50:59 PM 127.0.0.1 GET /OrbitControls.module.js
 HTTP  9/25/2025 12:50:59 PM 127.0.0.1 GET /GLTFLoader.module.js
 HTTP  9/25/2025 12:50:59 PM 127.0.0.1 GET /RoomEnvironment.module.js
 HTTP  9/25/2025 12:50:59 PM 127.0.0.1 Returned 304 in 6 ms
 HTTP  9/25/2025 12:50:59 PM 127.0.0.1 Returned 304 in 6 ms
 HTTP  9/25/2025 12:50:59 PM 127.0.0.1 Returned 304 in 6 ms
 HTTP  9/25/2025 12:50:59 PM 127.0.0.1 Returned 304 in 19 ms
 HTTP  9/25/2025 12:50:59 PM 127.0.0.1 GET /utils/BufferGeometryUtils.js
 HTTP  9/25/2025 12:50:59 PM 127.0.0.1 Returned 304 in 36 ms
 HTTP  9/25/2025 12:50:59 PM 127.0.0.1 GET /config.json
 HTTP  9/25/2025 12:50:59 PM 127.0.0.1 GET /favicon.ico
 HTTP  9/25/2025 12:50:59 PM 127.0.0.1 Returned 200 in 5 ms
 HTTP  9/25/2025 12:50:59 PM 127.0.0.1 Returned 304 in 19 ms
 HTTP  9/25/2025 12:50:59 PM 127.0.0.1 GET /test-1.glb
 HTTP  9/25/2025 12:50:59 PM 127.0.0.1 Returned 304 in 220 ms
